name,artists,id_artists,release_year,popularity,duration_minutes,key,mode,explicit,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Ne pitaj me,Kemal Malovčić,7bG4vx081t9nmUILcByn3W,1987,17,4.061116667,Fa,0,0,0.544,0.786,-6.672,0.0404,0.42,0.00272,0.437,0.653,123.036
Rock'n'Roll Medley,Günter Noris,5e3sz3pP0KmnIRT5L7ov0q,1987,21,3.207116667,Si(b),1,0,0.386,0.736,-10.327,0.0838,0.176,0.000341,0.784,0.856,187.685
La tire à Dédé - Live,Renaud,15uNxh8omvRvH71kcdIe2r,1987,16,3.553333333,Re(b),1,0,0.425,0.477,-12.986,0.179,0.721,0,0.709,0.545,68.868
Virgin Tutto Amor,Therese Steinmetz,0CTRoeQtuefzMYJLnnXAnB,1987,1,2.597783333,Sol,0,0,0.434,0.183,-16.655,0.0361,0.943,0.00144,0.11,0.259,124.983
I Wanna Be Somebody - Live,W.A.S.P.,3BVkDHWRvLJEyKdvhLbjsq,1987,21,6.712216667,Re(b),1,0,0.23,0.99,-4.656,0.0941,0.00146,0.000407,0.969,0.306,170.404
Keep Me In Mind,Boy George,2BWfZGPtsjRlRp7JTDqI45,1987,26,4.084,La(b),1,0,0.658,0.586,-12.763,0.0484,0.783,1.96E-06,0.0616,0.486,102.549
"Ozeni me, babo",Kemal Malovčić,7bG4vx081t9nmUILcByn3W,1987,15,2.576666667,La,1,0,0.647,0.797,-6.199,0.0395,0.15,0.000257,0.169,0.911,133.076
Drachen sollen fliegen,Pur,175a900UJkfGsIGcvUDaEx,1987,24,5.398216667,Mi(b),1,0,0.432,0.787,-4.784,0.0327,0.194,2.19E-06,0.655,0.444,139.694
"Hej, malena plavo oko",Kemal Malovčić,7bG4vx081t9nmUILcByn3W,1987,12,3.189333333,Si,0,0,0.548,0.688,-6.646,0.0634,0.192,7.62E-05,0.0706,0.511,161.014
Florentinische Nächte,Rudi Schuricke,1sr2X76F51lgfIhO4XOGm0,1987,22,3.49445,La,1,0,0.497,0.336,-11.259,0.0324,0.704,0,0.345,0.571,117.691
Cumbia de Sal,Colombia Tropical,3XAJJ0LrjTbX6zNHnbvkRx,1987,15,3.307333333,Do,1,0,0.651,0.54,-12.019,0.0593,0.771,7.14E-06,0.434,0.958,97.911
"Vrati mi srecu, devojko",Kemal Malovčić,7bG4vx081t9nmUILcByn3W,1987,12,2.64045,Re,1,0,0.626,0.76,-6.97,0.0343,0.368,2.84E-06,0.602,0.963,130.147
Hinter den Kulissen von Paris,Mireille Mathieu,6fAg4jVV9zANHej0mzaMG6,1987,21,2.539333333,Mi,1,0,0.439,0.431,-8.875,0.0285,0.77,0,0.698,0.765,103.629
Znas li sta o njoj,Mile Kitic,2OhGtVGxKAJJuc7bEKB7wH,1987,13,4.025116667,La,0,0,0.641,0.642,-9.386,0.0284,0.448,2.24E-05,0.0658,0.965,123.764
Blues At Sunrise - Live,Albert King,5aygfDCEaX5KTZOxSCpT9o,1988,12,10.33266667,Re(b),0,0,0.317,0.486,-14.414,0.0671,0.619,0.121,0.921,0.563,86.89
Scotland The Brave / Rowan Tree,The Pipes & Drums of Leanisch,6tGrop0JeLuo5dIJwA5T2c,1988,13,2.997016667,Si(b),0,0,0.296,0.843,-5.806,0.11,0.00439,0.907,0.152,0.297,90.098
I'll Play The Blues For You - Live,Albert King,5aygfDCEaX5KTZOxSCpT9o,1988,11,6.604,Re,0,0,0.448,0.517,-13.09,0.0752,0.609,0.0706,0.634,0.82,99.42
I Believe To My Soul - Live,Albert King,5aygfDCEaX5KTZOxSCpT9o,1988,10,4.946666667,Re,0,0,0.331,0.385,-13.107,0.0941,0.532,0.000975,0.388,0.654,184.514
For The Love Of A Woman - Live,Albert King,5aygfDCEaX5KTZOxSCpT9o,1988,9,3.8,Re(b),1,0,0.418,0.722,-12.252,0.0461,0.329,0.323,0.68,0.894,110.984
So heiß - Single Remix,Münchener Freiheit,353KPo8gVAfcZfwF7BPZDy,1988,17,4.047783333,Si(b),0,0,0.575,0.729,-11.984,0.0308,0.109,0.000158,0.141,0.962,125.877
Roadhouse Blues - Live,Albert King,5aygfDCEaX5KTZOxSCpT9o,1988,15,10.11333333,Sol,1,0,0.371,0.485,-13.702,0.0612,0.376,0.0453,0.934,0.674,88.523
Little Brother (Make A Way) - Live,Albert King,5aygfDCEaX5KTZOxSCpT9o,1988,8,5.753333333,Fa,0,0,0.522,0.554,-12.606,0.0738,0.541,0.00299,0.894,0.894,114.635
Lange Schatten - Digitally Remastered,Peter Maffay,5W3s4beu23rOlseCbVOp4l,1988,14,4.467333333,Sol,1,0,0.495,0.421,-10.978,0.0253,0.716,0.022,0.0626,0.332,87.468
Don't Burn Down The Bridge ('Cause You Might Wanna Come Back Across) - Live,Albert King,5aygfDCEaX5KTZOxSCpT9o,1988,10,4.502216667,Re(b),1,0,0.49,0.603,-12.068,0.0436,0.535,0.0148,0.866,0.93,131.956
My Old Flame,Frank Morgan,65HhcbtTjbjB81u37nzaeP,1988,31,4.77555,La(b),1,0,0.508,0.027,-23.372,0.0391,0.924,0.819,0.134,0.217,112.584
National Embleme,Marinemusikkorps Ostsee,6j80KyF7TPzyTUMCasu6Ks,1988,15,2.866,Mi(b),1,0,0.542,0.497,-14.014,0.0314,0.771,0.792,0.433,0.78,123.069
